Customer_ID,Age,Gender,Marital_Status,Education_Level,Region,District/Location,Occupation,Monthly_Income,Savings_Balance,Loan_Amount,Loan_Term_Months,Loan_Purpose,Collateral_Type,Guarantor_Relationship,Dependents,Business_Experience_Years,Past_Defaults,Previous_Loans,Credit_History_Length,Employment_Status,House_Ownership,Loan_to_Income_Ratio,Savings_to_Income_Ratio,Debt_to_Income_Ratio,Credit_Score_Internal,Late_Payments_PastYear,Other_Debts,Mobile_Money_Transactions,Bank_Account,Financial_Literacy_Level,Community_Reputation,Loan_Officer_ID,Branch_ID,Application_Channel,Seasonality_Factor,Missed_Meetings,Default_Status
CUST-000001,54,Female,Married,JHS,Volta,Ho Municipal,Artisan,767,320.0,4778,12,Education,Vehicle,None,3,19,0,Yes,1.0,Self-Employed,Family,6.23,0.42,6.23,665,0,0,830,No,Medium,Good,LO_024,Tamale-03,Walk-in,0.94,1,No
CUST-000002,37,Male,Married,Tertiary,Ashanti,Asokore Mampong,Teacher,4532,1932.0,21778,24,Farming,Land,Parent,3,7,0,Yes,4.0,Salaried,Own,4.81,0.43,5.15,692,2,1549,2142,Yes,Medium,Average,LO_024,Bolga-08,Walk-in,0.8,0,No
CUST-000003,56,Female,Single,JHS,Northern,Yendi,Trader,1466,218.0,6680,12,Housing,None,None,0,18,0,Yes,4.0,Self-Employed,Rent,4.56,0.15,5.07,659,0,755,747,Yes,Low,Good,LO_020,Koforidua-06,Walk-in,0.9,0,No
CUST-000004,61,Male,Married,JHS,Northern,Tamale Metro,Trader,793,299.0,2328,12,Farming,Guarantor,Friend,4,17,0,No,5.0,Self-Employed,Rent,2.94,0.38,4.15,691,0,965,556,No,Medium,Good,LO_043,Accra-01,Referral,1.07,1,No
CUST-000005,31,Male,Married,Primary,Eastern,Koforidua,Trader,2111,575.0,6830,12,Transport,Guarantor,Friend,2,6,0,Yes,3.0,Salaried,Family,3.24,0.27,3.49,705,3,547,0,No,Low,Good,LO_008,Tamale-03,Referral,0.96,1,Yes
CUST-000006,24,Male,Married,Primary,Northern,Yendi,Farmer,2063,787.0,2898,12,Medical,Guarantor,Friend,2,4,0,Yes,3.0,Salaried,Family,1.4,0.38,3.54,649,3,4407,0,No,Low,Average,LO_028,Sekondi-05,Agent,1.0,1,No
CUST-000007,42,Male,Married,Primary,Northern,Gushegu,Artisan,6842,1726.0,33827,24,Others,Vehicle,None,2,10,0,Yes,2.0,Salaried,Own,4.94,0.25,4.94,761,2,0,1129,Yes,Low,Good,LO_037,Bolga-08,Agent,1.14,0,No
CUST-000008,18,Female,Single,SHS,Central,Cape Coast,Trader,3000,628.0,9845,12,Housing,None,None,0,0,0,Yes,3.0,Self-Employed,Family,3.28,0.21,4.07,686,2,2360,3936,No,High,Good,LO_047,Koforidua-06,Walk-in,0.85,1,Yes
CUST-000009,41,Male,Married,JHS,Upper East,Bolgatanga,Trader,2515,831.0,5725,12,Education,Guarantor,Spouse,1,14,0,No,4.0,Self-Employed,Rent,2.28,0.33,3.65,688,4,3454,1661,Yes,Medium,Good,LO_048,Bolga-08,Mobile,1.19,0,Yes
CUST-000010,41,Male,Married,JHS,Upper East,Bawku,Artisan,1611,50.0,2715,6,Others,Guarantor,Spouse,2,12,0,No,4.0,Self-Employed,Family,1.69,0.03,1.69,696,0,0,1112,No,Low,Good,LO_042,Tamale-03,Walk-in,0.85,0,No
